Index,Link,Playlist ID,unit test ID,Optional/Essential (O/E),Number of cycles
Video 6,/v/conditional-statements-and-deductive-reasoning/,,,O,
Video 7,/v/conditional-statements-exercise-examples/,,,O,
Video 8,/v/logical-argument-and-deductive-reasoning-exercise-example/,,,O,
Exercise 3,/e/conditional_statements_2/,,,O,
Exercise 4,/e/logical_arguments_deductive_reasoning/,,,O,
,Quiz 4,g3_p6_q4,,E,
,,,,,
,,,,,
,,,,,
,Playlist 7: Subtraction without borrowing,g3_p7,,E,
,Subtitle: Week 9,,,,
Video 1,/v/basic-subtraction/,,,E,
Exercise 1,/e/subtraction_1/,,,E,
Video 2,/v/subtraction-2/,,,E,
Video 3,/v/subtracting-whole-numbers/,,,E,
Exercise 2,/e/subtraction_2/,,,E,
,Grade III - Unit Test 3,"g3_p6, g3_p7",g3_t3,,
,,,,,
,Playlist 8: Addition with carryover,g3_p8,,E,
,Subtitle: Week 15,,,,
Video 1,/v/level-2-addition/,,,E,
Exercise 1,/e/addition_2/,,,E,
Video 2,/v/carrying-when-adding-three-digit-numbers/,,,E,
Video 3,/v/why-carrying-works/,,,E,
Video 4,/v/example-adding-with-carrying/,,,E,
Video 5,/v/addition-4/,,,E,
Exercise 2,/e/addition_3/,,,E,
Exercise 3,/e/addition_4/,,,E,
,Quiz 5,g3_p8_q5,,E,
,,,,,
,Grade III - Unit Test 4,"g3_p7, g3_p8",g3_t4,E,6
,,,,,
,Playlist 9: Subtraction with borowing,g3_p9,,E,
,Subtitle: Week 19,,,,
Video 1,/v/basic-regrouping-or-borrowing-when-subtracting-three-digit-numbers/,,,E,
Video 2,/v/regrouping-when-subtracting-three-digit-numbers/,,,E,
Video 3,/v/regrouping-twice-when-subtracting-three-digit-numbers/,,,E,
Video 4,/v/regrouping-from-0-when-subtracting-three-digit-numbers/,,,E,
Video 5,/v/borrowing-once-example-1/,,,E,
Video 6,/v/borrowing-once-example-2/,,,E,
Video 7,/v/regrouping--borrowing--twice-example/,,,E,
Video 8,/v/alternate-mental-subtraction-method/,,,E,
Exercise 1,/e/subtraction_3/,,,E,
Exercise 2,/e/subtraction_4/,,,E,
,Quiz 6,g3_p9_q6,,E,
,,"g3_p8, g3_p9",,,
,,,,,
,Playlist 10: Word problems with one or more operations,g3_p10,,E,
Video 1,/v/subtraction-word-problem/,,,E,
Exercise 1, /e/arithmetic_word_problems_1/,,,E,
,,,,,
,Grade III - Unit Test 5,"g3_p9, g3_p10",g3_t5,E,6
,,,,,
,Playlist 11: Multi digit multiplication without carryover,g3_p11,,O,
,Subtitle: Week 20,,,,
Video 1,/v/multiplying-by-multiples-of-10/,,,O,
Video 2,/v/2-digit-times-1-digit-example-no-carrying/,,,O,
Video 3,/v/3-digit-times-1-digit-example-no-carrying/,,,O,
Video 4,/v/2-digit-times-1-digit-example/,,,O,
Video 5,/v/3-digit-times-1-digit-example/,,,O,
Video 6,/v/4-digit-times-1-digit-example/,,,O,
Video 7,/v/lattice-multiplication/,,,O,
Video 8,/v/why-lattice-multiplication-works/,,,O,
Exercise 1,/e/multiplication_1/,,,O,
Exercise 2,/e/multiplication_1.5/,,,O,
Exercise 3,/e/multiplication_2/,,,O,
,,,,,
,Playlist 12: Telling time,g3_p12,,E,
,Subtitle: Week 21,,,,
Video 1,/v/telling-time-exercise-example-1/,,,E,
Video 2,/v/telling-time-exercise-example-2/,,,E,
Exercise 1,/e/telling_time_0.5/,,,E,
Exercise 2,/e/telling_time/,,,E,
Exercise 3,/e/telling_time_2/,,,E,
,Quiz 7,g2_p12_q7,,E,
,Grade III - Unit Test 6,"g3_p11, g3_p12",g3_t6,,
,,,,,
,Playlist 13: Represent fractions using numerator/denominator format,g3_p13,,,
,Subtitle: Week 22,,,E,
Video 1,/v/introduction-to-fractions/,,,E,
Video 2,/v/identifying-fraction-parts/,,,E,
Video 3,/v/recognizing-fractions-exercise/,,,E,
Video 4,/v/numerator-and-denominator-of-a-fraction/,,,E,
Exercise 1,/e/recognizing_fractions_0.5/,,,E,
Exercise 2,/e/recognizing_fractions/,,,E,
,,g3_p13_q8,,E,
,,,,,
,Grade III - Unit Test 7,g3_p13,g3_t7,E,4
